property_area,bedrooms,bathrooms,year_built,garage_size,lot_area,location,property_type,furnishing_status,price
984.0,3.0,4.0,1988.0,1.0,1712.0,Tier2,Independent House,Semi-Furnished,57.05
2329.0,3.0,3.0,2015.0,1.0,6048.0,Tier1,Apartment,Unfurnished,167.7
1814.0,3.0,3.0,1998.0,1.0,,Tier2,Apartment,Unfurnished,71.09
463.0,3.0,3.0,1992.0,1.0,1358.0,Tier1,Apartment,,41.66
400.0,2.0,2.0,2021.0,2.0,1188.0,,Independent House,Semi-Furnished,41.95
1238.0,3.0,3.0,1989.0,1.0,2971.0,Tier1,Apartment,Unfurnished,63.95
1647.0,4.0,5.0,1992.0,2.0,,Metro,Apartment,Furnished,159.01
940.0,1.0,1.0,1995.0,1.0,,Metro,Apartment,Furnished,113.47
1711.0,3.0,4.0,2013.0,1.0,3641.0,Metro,,Unfurnished,182.6
1230.0,1.0,1.0,2005.0,0.0,3361.0,Tier2,Villa,Semi-Furnished,106.76
1118.0,2.0,2.0,2023.0,3.0,1714.0,Tier1,Villa,Unfurnished,126.23
1578.0,3.0,3.0,1997.0,2.0,2190.0,Tier1,Apartment,Semi-Furnished,86.91
934.0,5.0,5.0,2003.0,2.0,1246.0,Tier3,Apartment,Unfurnished,18.79
1057.0,5.0,4.0,1987.0,2.0,2233.0,Metro,Apartment,Furnished,115.39
1535.0,1.0,2.0,2018.0,2.0,4286.0,Tier1,Apartment,Semi-Furnished,115.57
1184.0,3.0,4.0,2022.0,3.0,1511.0,Tier2,Apartment,Semi-Furnished,79.97
2154.0,3.0,3.0,2003.0,1.0,3408.0,Metro,Independent House,Semi-Furnished,233.33
1547.0,,2.0,2016.0,1.0,3787.0,Metro,Independent House,Furnished,296.24
1514.0,4.0,5.0,2020.0,0.0,4067.0,Metro,Independent House,Semi-Furnished,228.11
1175.0,,5.0,2023.0,3.0,3118.0,Metro,,Furnished,196.59
1637.0,5.0,5.0,1998.0,3.0,4278.0,Tier3,Villa,Unfurnished,69.19
1039.0,1.0,2.0,1991.0,2.0,1490.0,Tier2,Independent House,Semi-Furnished,48.38
1341.0,2.0,2.0,2004.0,1.0,2568.0,Tier2,Apartment,Furnished,98.21
742.0,4.0,4.0,2016.0,1.0,2206.0,Tier3,Villa,Furnished,62.23
1720.0,4.0,4.0,2015.0,1.0,5126.0,Tier2,Apartment,Furnished,110.89
1345.0,5.0,5.0,2006.0,1.0,3072.0,Metro,,Semi-Furnished,123.95
2191.0,1.0,1.0,1989.0,1.0,5426.0,Tier3,Independent House,Furnished,106.46
2396.0,3.0,3.0,2015.0,0.0,6978.0,Tier1,Apartment,Unfurnished,231.24
1582.0,3.0,3.0,1999.0,3.0,3180.0,Tier2,Apartment,Furnished,83.59
1234.0,1.0,2.0,2001.0,1.0,1785.0,Tier3,Independent House,Furnished,75.98
727.0,3.0,4.0,2021.0,3.0,1748.0,Tier1,Apartment,Unfurnished,48.2
1652.0,3.0,3.0,2003.0,2.0,4837.0,Metro,Apartment,Unfurnished,209.43
1305.0,2.0,2.0,1994.0,1.0,3204.0,Metro,Independent House,Furnished,198.41
1469.0,2.0,1.0,2018.0,1.0,3887.0,Tier1,Villa,Unfurnished,159.33
2065.0,3.0,3.0,2009.0,3.0,4049.0,Tier2,Villa,Semi-Furnished,137.81
788.0,3.0,2.0,2021.0,2.0,1082.0,Tier3,Apartment,Unfurnished,19.09
738.0,5.0,5.0,2012.0,1.0,1110.0,Metro,Apartment,Semi-Furnished,70.36
1082.0,2.0,,1999.0,0.0,3212.0,Tier1,,Semi-Furnished,93.86
1611.0,2.0,2.0,2004.0,2.0,3363.0,Tier1,Villa,Unfurnished,223.68
1477.0,6.0,5.0,1997.0,1.0,1804.0,Metro,Villa,Furnished,228.88
752.0,5.0,6.0,2004.0,1.0,2196.0,Metro,Apartment,Semi-Furnished,81.51
1578.0,1.0,1.0,2015.0,2.0,3307.0,Tier1,Apartment,Semi-Furnished,157.38
,4.0,3.0,2002.0,2.0,1620.0,Tier3,Independent House,Furnished,26.76
781.0,2.0,1.0,2012.0,1.0,1708.0,Tier1,Apartment,Furnished,66.89
1142.0,1.0,1.0,1988.0,3.0,1579.0,Tier1,Villa,,132.12
923.0,2.0,1.0,2008.0,2.0,2130.0,Tier2,Apartment,Semi-Furnished,42.65
1645.0,2.0,3.0,1993.0,2.0,4927.0,Tier1,Villa,Semi-Furnished,158.73
1343.0,4.0,4.0,2016.0,,1696.0,,Independent House,Semi-Furnished,46.66
2083.0,4.0,5.0,2016.0,1.0,5656.0,Tier3,Villa,Furnished,166.66
1076.0,6.0,5.0,2023.0,0.0,1747.0,Metro,Apartment,,106.65
1139.0,4.0,4.0,2005.0,1.0,2174.0,Tier1,Villa,Unfurnished,99.95
1805.0,3.0,3.0,2023.0,3.0,3377.0,Tier1,Independent House,Semi-Furnished,201.25
1155.0,4.0,4.0,2011.0,3.0,3255.0,Metro,Apartment,Semi-Furnished,161.15
1947.0,6.0,6.0,2020.0,2.0,4104.0,Metro,Independent House,Unfurnished,238.11
1470.0,4.0,5.0,1992.0,1.0,2947.0,Tier2,Villa,Unfurnished,85.28
400.0,,4.0,2003.0,2.0,1069.0,Tier1,Independent House,Semi-Furnished,47.27
1789.0,5.0,5.0,2013.0,1.0,2304.0,Metro,Villa,Unfurnished,246.91
1656.0,2.0,3.0,2003.0,0.0,2245.0,Metro,Apartment,Semi-Furnished,163.51
1676.0,4.0,3.0,1989.0,1.0,2077.0,Tier3,Apartment,Unfurnished,28.9
400.0,5.0,4.0,2006.0,1.0,975.0,Metro,Apartment,Furnished,56.15
869.0,6.0,6.0,2019.0,1.0,1865.0,Metro,Independent House,Semi-Furnished,139.17
906.0,2.0,2.0,1994.0,1.0,2516.0,Tier1,Independent House,Furnished,86.53
779.0,3.0,3.0,1999.0,1.0,1634.0,Tier3,Villa,Unfurnished,40.34
2071.0,4.0,3.0,1986.0,2.0,3312.0,Metro,Apartment,Semi-Furnished,158.46
1194.0,2.0,2.0,2006.0,0.0,3163.0,Tier2,Apartment,Furnished,82.16
1182.0,3.0,,2019.0,2.0,2045.0,Tier2,Independent House,Furnished,105.08
1476.0,2.0,2.0,2023.0,1.0,4257.0,Metro,Apartment,Unfurnished,161.2
1485.0,2.0,2.0,2003.0,1.0,2451.0,Tier2,Apartment,Unfurnished,49.7
400.0,3.0,3.0,1996.0,2.0,601.0,Tier1,Villa,Semi-Furnished,41.57
877.0,3.0,4.0,2018.0,1.0,1831.0,Tier2,Apartment,Semi-Furnished,50.15
494.0,3.0,3.0,2004.0,,638.0,Tier2,Apartment,Semi-Furnished,21.95
1400.0,,4.0,1991.0,2.0,1772.0,Tier1,Apartment,Semi-Furnished,68.48
1056.0,2.0,2.0,,1.0,2210.0,Metro,Apartment,Unfurnished,103.2
1208.0,2.0,2.0,1987.0,,1917.0,,Independent House,Furnished,86.43
400.0,1.0,1.0,1990.0,1.0,500.0,Tier1,Apartment,Semi-Furnished,20.93
1045.0,2.0,3.0,2017.0,1.0,1811.0,Metro,,Semi-Furnished,88.5
1758.0,3.0,3.0,2018.0,2.0,3620.0,Metro,Apartment,Semi-Furnished,168.89
1905.0,4.0,,2017.0,1.0,3638.0,Tier1,Independent House,Semi-Furnished,174.98
1559.0,2.0,3.0,2013.0,0.0,2251.0,Tier2,Apartment,Semi-Furnished,81.94
532.0,2.0,1.0,2007.0,0.0,1193.0,Metro,Villa,Furnished,109.57
1830.0,4.0,3.0,1988.0,1.0,4536.0,Tier1,Apartment,Semi-Furnished,110.7
1562.0,2.0,1.0,1989.0,2.0,3774.0,Metro,Apartment,Furnished,191.83
1141.0,,6.0,2018.0,2.0,2178.0,Tier2,Apartment,Furnished,65.49
400.0,4.0,3.0,2000.0,2.0,579.0,Metro,Independent House,Furnished,44.49
1677.0,2.0,3.0,2024.0,1.0,3520.0,,Independent House,Unfurnished,101.85
904.0,2.0,1.0,1987.0,2.0,2534.0,Tier1,Apartment,Semi-Furnished,58.08
1373.0,3.0,3.0,1998.0,1.0,2806.0,Tier3,Villa,Semi-Furnished,75.07
1234.0,1.0,1.0,2017.0,2.0,1915.0,Metro,Independent House,Unfurnished,187.19
1969.0,,3.0,2012.0,2.0,2693.0,Tier1,Apartment,Semi-Furnished,149.11
1137.0,2.0,2.0,1999.0,0.0,3296.0,Metro,Independent House,Semi-Furnished,180.65
1192.0,4.0,5.0,,3.0,,Tier3,,Semi-Furnished,49.26
1989.0,3.0,4.0,2004.0,2.0,3507.0,Tier3,Independent House,Semi-Furnished,80.2
871.0,1.0,1.0,2009.0,2.0,1508.0,Metro,Independent House,Semi-Furnished,77.11
1607.0,4.0,4.0,2019.0,2.0,4518.0,Tier2,Independent House,Semi-Furnished,130.86
1101.0,3.0,2.0,2023.0,2.0,1673.0,Tier2,Villa,Unfurnished,95.24
699.0,3.0,3.0,2006.0,3.0,1512.0,Tier1,Apartment,Unfurnished,54.52
1201.0,2.0,3.0,2019.0,2.0,2984.0,Tier1,Independent House,Furnished,134.9
1546.0,3.0,2.0,2012.0,1.0,2958.0,Metro,Apartment,Furnished,168.85
1877.0,6.0,5.0,,2.0,2387.0,Metro,Apartment,Semi-Furnished,169.39
1937.0,1.0,1.0,2000.0,1.0,3119.0,Tier3,Independent House,Semi-Furnished,85.57
1053.0,2.0,2.0,2007.0,3.0,2973.0,,Independent House,Furnished,47.68
706.0,2.0,2.0,2003.0,3.0,1512.0,,Independent House,Unfurnished,38.97
1041.0,2.0,2.0,1985.0,1.0,2777.0,Tier1,Apartment,Furnished,96.45
,3.0,4.0,1985.0,2.0,1340.0,Tier1,Independent House,Unfurnished,45.11
1091.0,4.0,4.0,2010.0,3.0,3162.0,Tier2,Independent House,Unfurnished,91.43
1029.0,5.0,4.0,,1.0,2919.0,Tier3,Apartment,Unfurnished,35.74
1564.0,2.0,3.0,1986.0,1.0,3236.0,Tier3,Apartment,Furnished,65.05
400.0,3.0,4.0,2012.0,1.0,709.0,Tier2,Apartment,Furnished,26.78
833.0,3.0,2.0,2004.0,2.0,1902.0,Tier2,Apartment,Semi-Furnished,52.11
837.0,3.0,3.0,2011.0,1.0,2021.0,Metro,Independent House,Furnished,167.61
1794.0,3.0,3.0,2012.0,2.0,3762.0,Metro,Villa,Semi-Furnished,299.73
643.0,2.0,1.0,2015.0,1.0,1723.0,Tier3,Independent House,Semi-Furnished,39.2
1313.0,3.0,4.0,1991.0,0.0,2009.0,Tier2,Independent House,Furnished,97.53
1136.0,3.0,3.0,1992.0,0.0,2047.0,Metro,Apartment,Furnished,104.57
1722.0,4.0,5.0,2016.0,0.0,4194.0,Metro,Independent House,Unfurnished,193.46
1498.0,4.0,4.0,1995.0,0.0,2463.0,Tier2,Apartment,Furnished,82.08
1261.0,2.0,2.0,2010.0,1.0,2512.0,Metro,Independent House,Furnished,170.84
923.0,1.0,1.0,2009.0,2.0,2709.0,Metro,Apartment,Semi-Furnished,118.47
400.0,5.0,5.0,1991.0,0.0,931.0,Tier1,,Unfurnished,27.53
1324.0,3.0,2.0,2004.0,2.0,3851.0,Tier2,Apartment,Semi-Furnished,82.39
1465.0,5.0,5.0,2014.0,1.0,3663.0,Tier2,Apartment,Furnished,109.44
,1.0,1.0,1985.0,0.0,1034.0,,Independent House,Semi-Furnished,50.09
583.0,3.0,4.0,2002.0,1.0,1321.0,Tier2,Apartment,Unfurnished,26.33
1326.0,3.0,3.0,1992.0,2.0,1931.0,Metro,Villa,Unfurnished,196.19
1370.0,5.0,6.0,2013.0,0.0,2926.0,Tier1,Apartment,Semi-Furnished,85.51
705.0,1.0,1.0,2024.0,0.0,1167.0,Tier2,Independent House,Semi-Furnished,43.78
913.0,2.0,3.0,2006.0,3.0,2737.0,Tier2,Apartment,Semi-Furnished,52.7
400.0,,4.0,2016.0,2.0,672.0,Tier2,Apartment,Furnished,29.73
1889.0,5.0,5.0,2024.0,1.0,3051.0,Tier2,Apartment,Semi-Furnished,97.42
550.0,5.0,6.0,1998.0,,1278.0,Tier1,Apartment,Unfurnished,39.63
1471.0,6.0,6.0,1986.0,2.0,3118.0,Metro,Apartment,Unfurnished,118.25
1183.0,6.0,6.0,2019.0,2.0,1465.0,Tier1,Apartment,Semi-Furnished,82.28
1845.0,1.0,1.0,1991.0,1.0,2644.0,Metro,Apartment,Furnished,177.64
804.0,1.0,1.0,1987.0,1.0,2139.0,Metro,,Semi-Furnished,100.0
1231.0,2.0,2.0,1999.0,2.0,2549.0,Tier3,Villa,Unfurnished,70.44
400.0,2.0,1.0,2018.0,0.0,585.0,Tier1,Independent House,Unfurnished,33.07
400.0,4.0,4.0,2006.0,3.0,815.0,Tier3,Apartment,Furnished,21.77
1498.0,5.0,6.0,2002.0,1.0,2480.0,Tier2,,Semi-Furnished,109.77
,2.0,3.0,2002.0,1.0,641.0,Tier2,,Semi-Furnished,33.82
1086.0,3.0,3.0,2018.0,3.0,3175.0,Tier1,Apartment,,100.88
1706.0,5.0,6.0,2020.0,0.0,3159.0,Tier1,Independent House,Unfurnished,154.63
1573.0,3.0,4.0,2023.0,0.0,2019.0,Tier1,Apartment,Semi-Furnished,108.94
868.0,2.0,2.0,2022.0,2.0,2558.0,Metro,Villa,Unfurnished,169.7
406.0,3.0,2.0,2021.0,1.0,1068.0,Tier2,Apartment,Semi-Furnished,25.07
1455.0,3.0,2.0,2002.0,2.0,2412.0,Metro,Villa,Unfurnished,181.33
1871.0,3.0,4.0,2024.0,0.0,3622.0,Metro,,Semi-Furnished,369.99
869.0,3.0,4.0,2013.0,1.0,2392.0,Tier2,,Unfurnished,41.77
798.0,1.0,,1996.0,1.0,1471.0,Metro,Apartment,Semi-Furnished,81.15
938.0,6.0,6.0,2002.0,2.0,2084.0,Tier3,Independent House,Semi-Furnished,40.41
1486.0,3.0,4.0,2015.0,1.0,3214.0,Tier3,Apartment,Furnished,65.44
1814.0,3.0,4.0,1999.0,1.0,3487.0,Tier3,Villa,,62.69
580.0,6.0,6.0,2024.0,2.0,1364.0,Tier1,Independent House,Semi-Furnished,65.96
451.0,2.0,2.0,2014.0,3.0,925.0,Metro,Independent House,Semi-Furnished,55.86
2370.0,2.0,2.0,2020.0,2.0,2935.0,Tier3,Villa,Unfurnished,119.69
1111.0,4.0,,2012.0,1.0,2962.0,Tier1,Independent House,Furnished,151.88
1326.0,2.0,2.0,1999.0,1.0,1861.0,Tier3,Independent House,Unfurnished,42.34
854.0,4.0,5.0,2017.0,2.0,1738.0,Tier3,Apartment,Unfurnished,19.63
1445.0,2.0,2.0,1986.0,2.0,3242.0,Tier3,Apartment,Furnished,46.35
1680.0,1.0,,1992.0,2.0,4149.0,Metro,Apartment,Semi-Furnished,233.78
1350.0,3.0,3.0,2017.0,3.0,2618.0,Tier1,Independent House,Semi-Furnished,139.4
2070.0,2.0,3.0,2019.0,2.0,5225.0,Tier3,Villa,Furnished,99.35
1037.0,4.0,4.0,2002.0,0.0,1490.0,Tier1,Apartment,Semi-Furnished,82.57
1069.0,3.0,3.0,2010.0,2.0,2540.0,Metro,Independent House,,132.85
1316.0,5.0,5.0,2005.0,2.0,3537.0,Tier1,Apartment,Furnished,122.6
1432.0,4.0,3.0,2012.0,2.0,4011.0,Tier3,Apartment,Semi-Furnished,69.15
1314.0,2.0,3.0,2004.0,3.0,2948.0,Tier2,Villa,Semi-Furnished,138.8
558.0,4.0,4.0,2004.0,1.0,984.0,Tier1,Apartment,Unfurnished,29.12
1356.0,3.0,,1988.0,2.0,2026.0,Metro,Independent House,Furnished,183.55
1013.0,4.0,5.0,2020.0,0.0,1846.0,Tier2,Apartment,Semi-Furnished,50.58
910.0,4.0,5.0,2018.0,1.0,1976.0,Tier3,Independent House,Semi-Furnished,41.53
1216.0,3.0,3.0,1997.0,1.0,1889.0,Metro,Villa,Semi-Furnished,173.28
719.0,3.0,4.0,2015.0,3.0,2096.0,Tier1,Apartment,Unfurnished,63.95
632.0,3.0,2.0,2023.0,3.0,1779.0,Tier3,Independent House,Unfurnished,32.33
400.0,2.0,1.0,1991.0,2.0,504.0,Tier2,Villa,Furnished,26.26
2074.0,2.0,2.0,2001.0,0.0,4587.0,Tier2,Apartment,Semi-Furnished,106.12
1478.0,3.0,3.0,1996.0,1.0,3873.0,Tier2,Apartment,Semi-Furnished,101.88
1142.0,2.0,2.0,2014.0,2.0,1875.0,Tier1,Independent House,Semi-Furnished,102.88
866.0,1.0,1.0,2018.0,0.0,1856.0,Metro,Apartment,Semi-Furnished,105.78
400.0,1.0,1.0,,1.0,772.0,Tier2,Apartment,Semi-Furnished,16.12
836.0,3.0,4.0,2005.0,2.0,1299.0,Tier2,Apartment,Semi-Furnished,51.38
1558.0,3.0,3.0,1993.0,0.0,3594.0,Tier3,Apartment,Unfurnished,52.18
1671.0,,5.0,1996.0,0.0,4994.0,Tier3,Independent House,Furnished,83.69
1521.0,3.0,4.0,2001.0,1.0,2825.0,Tier1,Apartment,Unfurnished,98.04
1279.0,3.0,3.0,2000.0,3.0,2806.0,Tier1,Apartment,Semi-Furnished,99.64
,3.0,3.0,1989.0,2.0,3315.0,Tier2,Apartment,Semi-Furnished,90.03
1036.0,4.0,4.0,,3.0,2879.0,Tier2,Apartment,Unfurnished,65.09
1743.0,3.0,4.0,2012.0,2.0,4804.0,Tier2,Independent House,,110.18
1008.0,6.0,5.0,,1.0,1534.0,Tier2,Apartment,Semi-Furnished,44.89
759.0,5.0,5.0,2006.0,3.0,2140.0,Tier3,Independent House,Semi-Furnished,31.47
697.0,4.0,5.0,2019.0,1.0,1026.0,Tier1,Apartment,Semi-Furnished,64.53
668.0,5.0,5.0,1999.0,1.0,916.0,Tier1,Apartment,Unfurnished,45.96
1530.0,3.0,3.0,2003.0,1.0,3634.0,Metro,Independent House,Unfurnished,212.01
829.0,3.0,3.0,2010.0,2.0,1571.0,Tier1,Apartment,Furnished,84.29
683.0,4.0,5.0,,3.0,1472.0,Metro,Independent House,Furnished,98.77
1557.0,4.0,5.0,2007.0,1.0,3697.0,Tier1,Independent House,Semi-Furnished,170.8
1364.0,5.0,5.0,1994.0,1.0,1767.0,Tier1,Apartment,,92.91
1681.0,4.0,4.0,2006.0,2.0,2904.0,Metro,Apartment,Semi-Furnished,138.32
1456.0,6.0,6.0,1995.0,0.0,2955.0,Tier1,Independent House,Furnished,160.27
823.0,2.0,3.0,2010.0,2.0,1383.0,Metro,Apartment,Semi-Furnished,86.32
1238.0,4.0,5.0,1985.0,1.0,1595.0,Metro,Apartment,Furnished,120.89
1263.0,4.0,4.0,2020.0,1.0,1713.0,Tier2,Apartment,Semi-Furnished,60.9
,4.0,5.0,2005.0,1.0,1956.0,Tier1,Apartment,Semi-Furnished,54.88
648.0,2.0,2.0,1992.0,1.0,1841.0,Metro,Independent House,Semi-Furnished,84.2
860.0,4.0,3.0,2004.0,2.0,1268.0,Tier1,Apartment,Unfurnished,49.28
2218.0,5.0,6.0,2001.0,3.0,3657.0,Tier2,Apartment,Unfurnished,98.11
994.0,2.0,2.0,1999.0,1.0,2360.0,Metro,Villa,Semi-Furnished,198.49
1816.0,3.0,4.0,2005.0,2.0,5299.0,Tier2,Apartment,Furnished,163.18
966.0,3.0,2.0,1985.0,2.0,1680.0,Metro,Apartment,Unfurnished,78.53
